             NIP:6412472651             
          4                        74,20
0157 SZCZOTKA                          
          2                        38,50
0159 SZCZOTECZKA DO ZÊB                
          1                        10,90
0160 PÊDZEL                            
          3                        56,10
0162 GRZEBIEÑ                          
          4                        17,30
0163 OBCINACZ                          
          1                         3,00
0164 PILNIK                            
          4                        15,40
0165 NO¯YCZKI                          
          1                        12,70
0166 POLERKA                           
          1                         2,90
0167 WYCINACZ                          
          2                         4,60
0168 PENSETA                           
          2                        15,60
0169 ZALOTKA                           
          1                         7,70
0174 PUMEKS                            
          2                         4,50
0175 TARKA                             
          2                        19,40
0193 MASZYNKA DO GOLENI                
          1                        13,90
0197 WODA PO GOLENIU                   
          1                         9,20
0206 ALTERMEDICA 8                     
          9                       205,78
0209 ADIDAS                            
          3                        71,90
0210 ALTERMEDICA 5                     
          2                        41,40
0213 PRET A PORTER                     
      1,000                        38,90
0218 DOMIS PRZYBORY                    
          2                        39,20
0225 PACYNKI                           
          3                         2,50
0230 CHUSTECZKI                        
          2                         3,50
0233 VESPA KOSMETYKI                   
          1                        12,95
0234 ELFA PHARM KOSM.                  
          1                        10,50
0243 WODA UTLENIONA                    
          5                         5,00
0268 KALLOS KOSMETYKI                  
         21                       259,86
0271 GAZA                              
          8                        11,01
0272 KOMPRESY GAZOWE                   
         16                        20,15
0273 PLASTRY                           
          3                        25,20
0303 SYROP DO WODY                     
          2                        21,80
0304 MIÓD                              
         10                       203,90
0305 VITA BUERLECITIN                  
          1                        11,90
0310 MELISANA                          
          1                        17,80
0311 AMOL                              
          1                        20,20
0326 WIESIO£EK W KAPS.                 
          1                        18,50
0354 APAP TABL.                        
          1                         5,40
0368 TABL.PRZECZYSZCZAJ                
          1                         8,70
0377 PAST.TYMIANEKOWE                  
          1                        12,40
0378 DROVIT                            
          1                         8,60
0389 MA¦Æ                              
          6                       109,70
0393 WITAMINA C                        
          8                        72,60
0396 TABL MUSUJ¡CE                     
          2                        13,40
0399 OLEJEK ETERYCZNY                  
     24,000                       130,36
0407 COREGA TABL.                      
          1                        18,60
0409 ZIO£A JEDNORODNE 8                
     52,000                       191,35
0410 ZIO£A JEDNORODNE                  
        109                       407,18
0411 HERBATA OWOCOWA FI                
          9                        51,94
0418 POKRZYWA FIX                      
          1                         3,70
0419 DZIURAWIEC FIX                    
          1                         4,40
0431 NALEWKI ZIO£OWE                   
          5                        66,40
0434 POLOPIRYNA                        
          1                        13,00
0443 TABL.USPOKAJAJ¡CE                 
          2                        35,40
0447 MIESZANKI ZIO£.FIX                
          5                        33,27
0460 OD¯YWKA DO PAZNOK.                
          1                        20,00
0472 WITAMINA B                        
          1                        11,00
0483 HEMOROL CZOPKI                    
          1                        16,20
0504 SEPTOFERVEX                       
          1                         8,50
0520 GOLDEN ROSE KOSMET                
        119                     1.493,34
0532 HERBATA CZARNA                    
          4                        68,50
0533 PASTA DO ZÊBÓW                    
          7                        73,50
0550 GILLETTE KOSMETYKI                
          3                        53,90
0576 CUKIERKI SZA£WIOWE                
         29                        72,00
0577 BIELENDA KOSMETYKI                
         34                       594,20
0590 GREEN PHARM.KOSMET                
          1                         9,50
0602 HERBATA CZERWONA                  
          1                         7,30
0606 UROSEPT LISTEK                    
          1                        15,70
0632 B£ONNIK TABL.                     
          1                        20,00
0647 LINOMAG KREM,MA¦Æ                 
          1                        10,50
0653 GOSH KOSMETYKI                    
         40                     1.331,10
0714 DOVE KOSMETYKI                    
          1                         9,00
0719 DC OPALANIE                       
         12                       212,50
0721 LIRENE DEMAKIJA¯                  
          1                        11,50
0752 SOK Z BABKI                       
          1                        10,50
0765 NIVEA KOSMETYKI                   
          1                        12,50
0771 VITAMINA E                        
          1                         3,90
0778 PRZYPRAWY                         
          5                        27,30
0782 OMEGA 8                           
      1,000                        11,90
0889 MIESZANKI ZIO£.23                 
     12,000                        87,70
0940 TOREBKA,REKLAMÓWKA                
          1                         4,50
0985 FLOS LEK KOSMETYKI                
         14                       207,85
0999 MASECZKA                          
         12                        33,56
1005 FARMONA NIVELAZION                
          3                        17,40
1007 HENNA DO RZÊS                     
         11                        38,10
1008 FARBA ZIO£OWA                     
          3                        18,20
1027 KETOXIN SZAMPON                   
         14                        21,00
1040 ELMEX                             
          1                        14,20
1056 VIRTUAL KOSMETYKI                 
          1                        13,30
1061 COLFARM TABL.                     
      2,000                        23,70
1091 PLAYBOY KOSMETYKI                 
          1                        47,60
1117 ZIO£A W TABLETKACH                
          3                        76,70
1127 SZK£O,PORCELANA                   
         11                       182,60
1160 RUTINACEA TABL.                   
          1                         2,10
1180 SÓL BOCHEÑSKA                     
          1                        10,00
1211 MENOSTOP KAPS.                    
          1                        22,00
1228 LECYTYNA KAPS.                    
         12                       135,60
1230 AKCESORIA PAZNOKCI                
          1                        10,50
1242 JANTAR KOSMETYKI                  
          2                        21,30
1251 FARMONA KOSMETYKI                 
          7                        69,10
1255 HERBATA ZIELONA                   
          3                        28,20
1287 GUMA DO W£OSÓW                    
          2                        17,00
1414 MARION KOSMETYKI                  
          2                        18,70
1444 MA¦Æ 23                           
      8,000                        81,62
1519 EKOMEDICA 8PR                     
         10                       219,66
1580 PRZYPRAWY 22                      
          1                         3,40
1727 JOANNA STYLIZACJA                 
          1                         5,80
1749 ISLA PASTYLKI                     
          1                        15,00
1768 JEDWAB DO W£OSÓW                  
          1                         6,90
1769 LOREAL FARBA                      
          3                        59,70
1932 SUPLEMENT DIETY                   
     11,000                       178,60
1933 SUPLEMENT DIETY 22                
      3,000                        60,20
2043 BONIMED SUPLEMENT                 
          4                       110,50
----------------------------------------
SPRZEDA¯ RAZEM:                15.657,42
W TYM OPAKOWANIA:                   0,00
----------------------------------------
             #NIEFISKALNY#
#0130 SZEF                         13:38
               1501240287
             NIP:6412472651             
dn.16r07.02                    wydr.0889
             #NIEFISKALNY#
    R A P O R T     S K R Ó C O N Y 
M I E S I Ê C Z N Y  Z A  0 6 . 2 0 1 6 
----------------------------------------
od dn.16r06.01            do dn.16r06.30
nr rap. 0007                nr rap. 0032
----------------------------------------
         PTU A            23,00%
         PTU B             8,00%
         PTU C             5,00%
         PTU D             0,00%
         PTU E             0,00%
         PTU F             0,00%
             G            ZW.PTU
----------------------------------------
od dn.16r06.01            do dn.16r06.30
nr rap. 0007                nr rap. 0032
----------------------------------------
Sprzed. opod.PTU A                  0,00
Sprzed. opod.PTU B                  0,00
Sprzed. opod.PTU C                  0,00
Sprzed. opod.PTU D                  0,00
Sprzed. opod.PTU E                  0,00
Sprzed. opod.PTU F                  0,00
Sprzed. zwol.PTU G             15.641,00
Kwota PTU A                         0,00
Kwota PTU B                         0,00
Kwota PTU C                         0,00
£±czna kwota PTU                    0,00
£±czna nale¿no¶æ               15.641,00
Ilo¶æ paragonów                      636
Waluta ewidencyjna                   PLN
----------------------------------------
            RAZEM W OKRESIE
----------------------------------------
od dn.16r06.01            do dn.16r06.30
nr rap. 0007                nr rap. 0032
----------------------------------------
Sprzed. opod.PTU A                  0,00
Sprzed. opod.PTU B                  0,00
Sprzed. opod.PTU C                  0,00
Sprzed. opod.PTU D                  0,00
Sprzed. opod.PTU E                  0,00
Sprzed. opod.PTU F                  0,00
Sprzed. zwol.PTU G             15.641,00
Kwota PTU A                         0,00
Kwota PTU B                         0,00
Kwota PTU C                         0,00
£±czna kwota PTU                    0,00
£±czna nale¿no¶æ               15.641,00
Ilo¶æ paragonów                      636
Waluta ewidencyjna                   PLN
----------------------------------------
Ilo¶æ zerowañ RAM                      0
----------------------------------------
Wykonano zmiany w bazie towarowej      3
----------------------------------------
Anulowane paragony                     1
                                    0,00
----------------------------------------
             #NIEFISKALNY#
#0130 SZEF                         13:49
               1501240287
N   A   T   U   R   A   L   N   I   E   
   SKLEP ZIELARSKO-MEDYCZNY,DROGERIA    
           MARTYNA PIETROWSKA           
             UL. 1 MAJA 43              
           41-706 RUDA ¦L¡SKA           
             NIP:6412472651             
dn.16r07.04                    wydr.0890
    PARAGON FISKALNY - KOPIA
BIELENDA KOSMETYKI   1 * 12,50 = 12,50 G
RABAT 20%                          -2,50
Sp.zw.G     10,00 Razem PTU         0,00
S U M A   P L N                1 0 ,0 0 
ZAP£ACONO GOTÓWK¡ PLN              10,00
0001/0035 #0130 SZEF               09:16
C560627230F2024F89514672496383F75F1D8252
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0891
    PARAGON FISKALNY - KOPIA
JANTAR KOSMETYKI     1 * 12,90 = 12,90 G
Sp.zw.G     12,90 Razem PTU         0,00
S U M A   P L N                1 2 ,9 0 
ZAP£ACONO GOTÓWK¡ PLN             100,90
RESZTA PLN                         88,00
0002/0035 #0130 SZEF               09:27
D50E364BA8BFD0A345731EF06DB04481663BAD02
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0892
    PARAGON FISKALNY - KOPIA
ZIAJA KOSMETYKI      1 * 10,50 = 10,50 G
Sp.zw.G     10,50 Razem PTU         0,00
S U M A   P L N                1 0 ,5 0 
ZAP£ACONO GOTÓWK¡ PLN              50,50
RESZTA PLN                         40,00
0003/0035 #0130 SZEF               10:14
1682764BB4C79D79B54BC19D1A86CCA9E4C4E254
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0893
    PARAGON FISKALNY - KOPIA
ZIAJA KOSMETYKI      2 * 10,50 = 21,00 G
Sp.zw.G     21,00 Razem PTU         0,00
S U M A   P L N                2 1 ,0 0 
ZAP£. KARTA PLN                    21,00
0004/0035 #0130 SZEF               10:15
2CA1111A79D82B6373A407798E4019847CC41612
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0894
    PARAGON FISKALNY - KOPIA
HERBATA               3 * 5,50 = 16,50 G
B£ONNIK TABL.        1 * 20,00 = 20,00 G
Sp.zw.G     36,50 Razem PTU         0,00
S U M A   P L N                3 6 ,5 0 
ZAP£ACONO GOTÓWK¡ PLN             106,50
RESZTA PLN                         70,00
0005/0035 #0130 SZEF               11:02
C3E33DC228186BEE4BE5AA6B4A6F7D9F8E3A8AA6
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0895
    PARAGON FISKALNY - KOPIA
ZIO£A JEDNORODNE       1 * 3,00 = 3,00 G
RABAT 20%                          -0,60
Sp.zw.G      2,40 Razem PTU         0,00
S U M A   P L N                  2 ,4 0 
ZAP£ACONO GOTÓWK¡ PLN               2,40
0006/0035 #0130 SZEF               11:23
72A49F284A803F8BDC63C3951A745E1EEA587165
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0896
    PARAGON FISKALNY - KOPIA
GOLDEN ROSE KOSMET     1 * 7,00 = 7,00 G
AKCESORIA PAZNOKCI     1 * 4,60 = 4,60 G
JOANNA FARBA           1 * 7,40 = 7,40 G
RABAT 20%                          -1,48
Sp.zw.G     17,52 Razem PTU         0,00
S U M A   P L N                1 7 ,5 2 
ZAP£ACONO GOTÓWK¡ PLN              17,52
0007/0035 #0130 SZEF               11:44
CC9D97E36E657CDA1F405766165FB81A6CAB7BF9
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0897
    PARAGON FISKALNY - KOPIA
FARBA ZIO£OWA          1 * 4,50 = 4,50 G
Sp.zw.G      4,50 Razem PTU         0,00
S U M A   P L N                  4 ,5 0 
ZAP£ACONO GOTÓWK¡ PLN               5,00
RESZTA PLN                          0,50
0008/0035 #0130 SZEF               11:51
9E7ECDE913F1C7530C7212E9A4F300D01231CFAF
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0898
    PARAGON FISKALNY - KOPIA
PENSETA                1 * 7,90 = 7,90 G
VAX OD¯YWKA,SZAMPO    2 * 9,99 = 19,98 G
DC OPALANIE          1 * 16,40 = 16,40 G
ZIAJA KOSMETYKI        1 * 9,90 = 9,90 G
RECEPTY BABCI AGAFII  2 * 6,90 = 13,80 G
POLERKA                1 * 6,60 = 6,60 G
Sp.zw.G     74,58 Razem PTU         0,00
S U M A   P L N                7 4 ,5 8 
ZAP£ACONO GOTÓWK¡ PLN             200,00
RESZTA PLN                        125,42
0009/0035 #0130 SZEF               12:09
CF98B28A39B0C8E659FC96FAA34C53B9A351BF08
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0899
    PARAGON FISKALNY - KOPIA
WODA TOALETOWA       1 * 26,00 = 26,00 G
GOLDEN ROSE KOSMET   1 * 12,50 = 12,50 G
Sp.zw.G     38,50 Razem PTU         0,00
S U M A   P L N                3 8 ,5 0 
ZAP£ACONO GOTÓWK¡ PLN              40,00
RESZTA PLN                          1,50
0010/0035 #0130 SZEF               12:15
D90B7978EA3BC5B08B48581B9E72F25EE06477E8
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0900
    PARAGON FISKALNY - KOPIA
SZAMPON KOLORYZUJ¡     1 * 3,20 = 3,20 G
SZAMPON KOLORYZUJ¡     1 * 4,50 = 4,50 G
Sp.zw.G      7,70 Razem PTU         0,00
S U M A   P L N                  7 ,7 0 
ZAP£ACONO GOTÓWK¡ PLN              20,00
RESZTA PLN                         12,30
0011/0035 #0130 SZEF               12:16
4F348994226205D137BD4EA6AB831D0332365FA5
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0901
    PARAGON FISKALNY - KOPIA
HERBATA              1 * 56,00 = 56,00 G
RABAT 20%                         -11,20
Sp.zw.G     44,80 Razem PTU         0,00
S U M A   P L N                4 4 ,8 0 
ZAP£ACONO GOTÓWK¡ PLN              44,80
0012/0035 #0130 SZEF               12:20
E000F1B9937123FAD5A17B856BA76700E4C66C6C
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0902
    PARAGON FISKALNY - KOPIA
JOANNA FARBA           1 * 6,50 = 6,50 G
RABAT 20%                          -1,30
Sp.zw.G      5,20 Razem PTU         0,00
S U M A   P L N                  5 ,2 0 
ZAP£ACONO GOTÓWK¡ PLN               5,20
0013/0035 #0130 SZEF               12:22
6042305236D1803BC47D172ED0A22BB786F4CE0C
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0903
    PARAGON FISKALNY - KOPIA
GOLDEN ROSE KOSMET   1 * 11,00 = 11,00 G
Sp.zw.G     11,00 Razem PTU         0,00
S U M A   P L N                1 1 ,0 0 
ZAP£ACONO GOTÓWK¡ PLN              11,00
0014/0035 #0130 SZEF               12:26
766386639350E33FFA0B161D593761894640FFA8
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0904
    PARAGON FISKALNY - KOPIA
ZIO£A JEDNORODNE 8     1 * 2,50 = 2,50 G
Sp.zw.G      2,50 Razem PTU         0,00
S U M A   P L N                  2 ,5 0 
ZAP£ACONO GOTÓWK¡ PLN               5,00
RESZTA PLN                          2,50
0015/0035 #0130 SZEF               12:28
10919AFD2D789E4013D4C1CE614F1BF8319B3DE8
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0905
    PARAGON FISKALNY - KOPIA
ZIO£A JEDNORODNE     1 * 14,70 = 14,70 G
JOANNA FARBA           1 * 6,50 = 6,50 G
Sp.zw.G     21,20 Razem PTU         0,00
S U M A   P L N                2 1 ,2 0 
ZAP£ACONO GOTÓWK¡ PLN             100,20
RESZTA PLN                         79,00
0016/0035 #0130 SZEF               12:31
E15067597F73634DAC7C6D8489A843F70F37A9DE
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0906
    PARAGON FISKALNY - KOPIA
GOSH KOSMETYKI       1 * 29,90 = 29,90 G
Sp.zw.G     29,90 Razem PTU         0,00
S U M A   P L N                2 9 ,9 0 
ZAP£ACONO GOTÓWK¡ PLN              30,00
RESZTA PLN                          0,10
0017/0035 #0130 SZEF               12:37
66992D750BD5D7C9BD95D30FD99F12F9D02D410C
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0907
    PARAGON FISKALNY - KOPIA
MASECZKA               1 * 4,50 = 4,50 G
MASECZKA              -1 * 4,50 =-4,50 G
GOLDEN ROSE KOSMET     1 * 5,70 = 5,70 G
TEMPERÓWKA             1 * 3,40 = 3,40 G
Sp.zw.G      9,10 Razem PTU         0,00
S U M A   P L N                  9 ,1 0 
ZAP£ACONO GOTÓWK¡ PLN              10,00
RESZTA PLN                          0,90
0018/0035 #0130 SZEF               12:48
06CD8E27E1FE13EF52A069F749CDD1BAFD5D87A8
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0908
    PARAGON FISKALNY - KOPIA
GOLDEN ROSE KOSMET     1 * 9,90 = 9,90 G
Sp.zw.G      9,90 Razem PTU         0,00
S U M A   P L N                  9 ,9 0 
ZAP£ACONO GOTÓWK¡ PLN              20,00
RESZTA PLN                         10,10
0019/0035 #0130 SZEF               12:50
157EC27275F45B9EA31E8B920A716C5677CEA575
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0909
    PARAGON FISKALNY - KOPIA
ZMYWACZ DO PAZNOKC     1 * 4,60 = 4,60 G
GOSH KOSMETYKI       1 * 32,90 = 32,90 G
Sp.zw.G     37,50 Razem PTU         0,00
S U M A   P L N                3 7 ,5 0 
ZAP£ACONO GOTÓWK¡ PLN             107,50
RESZTA PLN                         70,00
0020/0035 #0130 SZEF               12:54
5B5CC136EF4BDDD68F1B8487A76E2F051A3ED74F
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0910
    PARAGON FISKALNY - KOPIA
GOLDEN ROSE KOSMET   1 * 12,50 = 12,50 G
GOLDEN ROSE KOSMET     1 * 9,90 = 9,90 G
GOSH KOSMETYKI       1 * 15,99 = 15,99 G
Sp.zw.G     38,39 Razem PTU         0,00
S U M A   P L N                3 8 ,3 9 
ZAP£. KARTA PLN                    38,39
0021/0035 #0130 SZEF               13:08
33BFBBDF8323992DEBF84F4D6C75286C7AD64C2E
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0911
    PARAGON FISKALNY - KOPIA
FLOS LEK KOSMETYKI   1 * 14,00 = 14,00 G
Sp.zw.G     14,00 Razem PTU         0,00
S U M A   P L N                1 4 ,0 0 
ZAP£ACONO GOTÓWK¡ PLN              20,00
RESZTA PLN                          6,00
0022/0035 #0130 SZEF               14:27
A499726AA780ACA7036F165B773D55E84582DD06
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0912
    PARAGON FISKALNY - KOPIA
ADIDAS               1 * 52,30 = 52,30 G
Sp.zw.G     52,30 Razem PTU         0,00
S U M A   P L N                5 2 ,3 0 
ZAP£. KARTA PLN                    52,30
0023/0035 #0130 SZEF               15:04
4EC27344F2DC249A7C79942DDD11FAA709BF7A52
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0913
    PARAGON FISKALNY - KOPIA
ZIO£A JEDNORODNE 8     1 * 3,60 = 3,60 G
ZIO£A JEDNORODNE       1 * 2,90 = 2,90 G
ZIO£A JEDNORODNE 8     1 * 3,00 = 3,00 G
ZIO£A JEDNORODNE 8     1 * 3,30 = 3,30 G
ZIO£A JEDNORODNE 8     1 * 3,30 = 3,30 G
ZIO£A JEDNORODNE       1 * 3,60 = 3,60 G
ZIO£A JEDNORODNE       1 * 5,70 = 5,70 G
VAX OD¯YWKA,SZAMPO     1 * 9,99 = 9,99 G
Sp.zw.G     35,39 Razem PTU         0,00
S U M A   P L N                3 5 ,3 9 
ZAP£ACONO GOTÓWK¡ PLN              50,00
RESZTA PLN                         14,61
0024/0035 #0130 SZEF               15:16
BAB34376D926429A6F2C3193D4028E3A47B450DE
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0914
    PARAGON FISKALNY - KOPIA
VAX OD¯YWKA,SZAMPO     1 * 9,99 = 9,99 G
GOLDEN ROSE KOSMET   1 * 12,50 = 12,50 G
ZIO£A JEDNORODNE       1 * 5,70 = 5,70 G
ZIO£A JEDNORODNE       1 * 2,80 = 2,80 G
ZIO£A JEDNORODNE 8     1 * 3,30 = 3,30 G
ZIO£A JEDNORODNE       1 * 3,60 = 3,60 G
Sp.zw.G     37,89 Razem PTU         0,00
S U M A   P L N                3 7 ,8 9 
ZAP£ACONO GOTÓWK¡ PLN              40,00
RESZTA PLN                          2,11
0025/0035 #0130 SZEF               15:18
E4F9060FE84FA6BE9D4DD5B73393767FD2694618
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0915
    PARAGON FISKALNY - KOPIA
GOLDEN ROSE KOSMET     1 * 9,90 = 9,90 G
LAKIER DO PAZNOKCI     2 * 1,00 = 2,00 G
KALLOS KOSMETYKI     1 * 12,90 = 12,90 G
Sp.zw.G     24,80 Razem PTU         0,00
S U M A   P L N                2 4 ,8 0 
ZAP£. KARTA PLN                    24,80
0026/0035 #0130 SZEF               15:23
C9FBF17650DC386C4B359AE64A8A006E9409C3B1
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0916
    PARAGON FISKALNY - KOPIA
SUPLEMENT DIETY        1 * 4,20 = 4,20 G
Sp.zw.G      4,20 Razem PTU         0,00
S U M A   P L N                  4 ,2 0 
ZAP£ACONO GOTÓWK¡ PLN               4,20
0027/0035 #0130 SZEF               15:41
E14B68F46592B7C3570F6E24D7D8992905823E07
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0917
    PARAGON FISKALNY - KOPIA
MIÓD                 1 * 22,00 = 22,00 G
Sp.zw.G     22,00 Razem PTU         0,00
S U M A   P L N                2 2 ,0 0 
ZAP£ACONO GOTÓWK¡ PLN              50,00
RESZTA PLN                         28,00
0028/0035 #0130 SZEF               15:52
1C95BC8B712DB367BF2F960BBA48A23417801E4C
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0918
    PARAGON FISKALNY - KOPIA
ZIO£A JEDNORODNE       3 * 3,00 = 9,00 G
HERBATA                2 * 4,00 = 8,00 G
RABAT 20%                          -1,60
Sp.zw.G     15,40 Razem PTU         0,00
S U M A   P L N                1 5 ,4 0 
ZAP£ACONO GOTÓWK¡ PLN              15,40
0029/0035 #0130 SZEF               16:23
D6806876A7213484550E71D7E6B6320EF3175A03
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0919
    PARAGON FISKALNY - KOPIA
MASECZKA               1 * 2,60 = 2,60 G
MASECZKA              -1 * 2,60 =-2,60 G
HERBATA                1 * 7,00 = 7,00 G
Sp.zw.G      7,00 Razem PTU         0,00
S U M A   P L N                  7 ,0 0 
ZAP£ACONO GOTÓWK¡ PLN              10,00
RESZTA PLN                          3,00
0030/0035 #0130 SZEF               16:34
6D1429DE1F14336CAFFE8B2DA59590C20AED6631
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0920
    PARAGON FISKALNY - KOPIA
GOSH KOSMETYKI       1 * 19,90 = 19,90 G
Sp.zw.G     19,90 Razem PTU         0,00
S U M A   P L N                1 9 ,9 0 
ZAP£ACONO GOTÓWK¡ PLN              50,00
RESZTA PLN                         30,10
0031/0035 #0130 SZEF               16:35
B890CA9EC557033D5F0DBB5261B3938CBF00A10C
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0921
    PARAGON FISKALNY - KOPIA
EVELINE KOSMETYKI      1 * 9,99 = 9,99 G
Sp.zw.G      9,99 Razem PTU         0,00
S U M A   P L N                  9 ,9 9 
ZAP£ACONO GOTÓWK¡ PLN              10,00
RESZTA PLN                          0,01
0032/0035 #0130 SZEF               16:38
F1DC706C73EC0DF10592E58F512688E0B027FF8C
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0922
    PARAGON FISKALNY - KOPIA
EVELINE KOSMETYKI     2 * 9,99 = 19,98 G
Sp.zw.G     19,98 Razem PTU         0,00
S U M A   P L N                1 9 ,9 8 
ZAP£ACONO GOTÓWK¡ PLN              50,00
RESZTA PLN                         30,02
0033/0035 #0130 SZEF               16:42
CA562AA7F3349EA83C8CDCDDABB593B5201921C8
            CAD 1501240287
             NIP:6412472651             
dn.16r07.04                    wydr.0923
    R A P O R T     F I S K A L N Y 
              D O B O W Y  - KOPIA
Rozpoczêcie sprzeda¿y:  16r07.04 g.09:16
Zakoñczenie sprzeda¿y:  16r07.04 g.16:42
dn.16r07.04                 nr rap. 0035
         PTU A            23,00%
         PTU B             8,00%
         PTU C             5,00%
         PTU D             0,00%
         PTU E             0,00%
         PTU F             0,00%
             G            ZW.PTU
----------------------------------------
Sprzed. opod.PTU A                  0,00
Sprzed. opod.PTU B                  0,00
Sprzed. opod.PTU C                  0,00
Sprzed. opod.PTU D                  0,00
Sprzed. opod.PTU E                  0,00
Sprzed. opod.PTU F                  0,00
Sprzed. zwol.PTU G                708,44
Kwota PTU A                         0,00
Kwota PTU B                         0,00
Kwota PTU C                         0,00
£±czna kwota PTU                    0,00
£±czna nale¿no¶æ                  708,44
----------------------------------------
Ilo¶æ zerowañ RAM                      0
----------------------------------------
Wykonano zmiany w bazie towarowej      0
----------------------------------------
Anulowane paragony                     0
                                    0,00
----------------------------------------
Ilo¶æ paragonów                       33
Ilo¶æ pozycji                       0029
Waluta ewidencyjna                   PLN
----------------------------------------
     WARTO¦CI SUMOWANE NARASTAJ¡CO
£±czna nale¿no¶æ               21.179,71
